path	owner	responsibility	worktree_state	sha256	dependency_contract	error_security_review	decision	evidence
api/__init__.py	api	HTTP routing and request boundary	final-existing	5a854a6bf9b6419352bc59230f4ec66a86358464faa63a5a196257367af84d40	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
api/enrichment.py	api	HTTP routing and request boundary	final-existing	d088db07006458fba38cf68cd1f7daa8b8c597d37260b48ef3067881ac33bce9	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
api/errors.py	api	HTTP routing and request boundary	final-existing	61c666cf089ca26f7263b9bd7d72f2b60d954d31052a6d8347fe6487f1d9194c	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
api/graph.py	api	HTTP routing and request boundary	final-existing	b4f24a6782af6a342b525264d250896d5c1b450a11c6674dda9a6de1e346f1e7	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
api/graph_connection.py	api	HTTP routing and request boundary	final-existing	ac299b1e1e77538f636e8a1275d3546af74f17f24ec2d038047aeae9fc988ff3	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
api/lineage.py	api	HTTP routing and request boundary	final-existing	247a8370d6ebc34d55107e86df999e6314bdafdf800f6aa9f0bc27b669781d20	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
api/schema.py	api	HTTP routing and request boundary	final-existing	56b09e9f685dc3c48d48750ee62523337099d7cd8464714cfdc5876273ddd486	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
api/schema_edit.py	api	HTTP routing and request boundary	final-existing	6e3c97f8aea099db14469e29c49ab4a2fca7d3a36d5e12f174116b34943087d0	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
api/search.py	api	HTTP routing and request boundary	final-existing	e443ff21b7184059f545fa150fa72fb02835f390f912402ff8bdd5f1bfd0bd95	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
api/table_samples.py	api	HTTP routing and request boundary	final-existing	21c411fb330f374083baab3fd42bd31ff6d2371e1d3bd01d5e9bf6ab7a68814d	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
contracts/__init__.py	contracts	public request/response contract	final-existing	e60034a5420c9f37986a55060ce1dfdde4248c7c50e06259973a1629f1c3e8cd	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
contracts/enrichment.py	contracts	public request/response contract	final-existing	5c837bd5f51e462006ab0761e4a269b819a2f760041d16b079c8afaaaf7257a1	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
contracts/lineage.py	contracts	public request/response contract	final-existing	fb1c4c0aa8137ef099793bce7482c420780faa840c6eddab76d6e4cb00360303	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
contracts/schema.py	contracts	public request/response contract	final-existing	c28e1168e4dbe461092a671e6b91102e2ebaa7c7e2116260ae22a8f4493fef4d	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
contracts/schema_edit.py	contracts	public request/response contract	final-existing	ab892aa2ebf7f8a559723a60b25538e7886af56ccfc8cee087b91f48820bdfb7	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
contracts/search.py	contracts	public request/response contract	final-existing	a181ff39da3b2f878708606a530e552ae9401df5ad08f3548d20600e3f3cc446	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
contracts/table_samples.py	contracts	public request/response contract	final-existing	2b10dad7b3d6f53afe41408523eb80b7673cd5203fbdd9a888f3a0997db23fa7	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
enrichment/__init__.py	enrichment	metadata enrichment orchestration	final-existing	5db21e638a17380d64c8aa60900e697e27120a64ec0852fbbe66110c68e5c7d6	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
enrichment/description.py	enrichment	metadata enrichment orchestration	final-existing	f17e6fad0e0d35896d233bc30314ff99704fc3111d4f7c762d2ea78f96fb16df	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
enrichment/events.py	enrichment	metadata enrichment orchestration	final-existing	879d308370ff1fd19e0c6dabbf3f58aecb0e285161e5bbe8f86569c34c6c5eb6	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
enrichment/foreign_keys.py	enrichment	metadata enrichment orchestration	final-existing	a5ed6b607615d7103fe2e0404f3d2d02a4bf9a83f12cc94dc0e934707f84a2bd	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
enrichment/orchestrator.py	enrichment	metadata enrichment orchestration	final-existing	5508fc346132324c63a22b85ea3b81378a319fec63324e1b860287059d1e6017	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
external/__init__.py	external	external service gateway	final-existing	d1e4887300134dc0b10d300be281605c01a0ca605b333389b1f4d22d30a611db	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	no-violation	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
external/data_fabric.py	external	external service gateway	final-existing	3b4f96a0d57dc438eb3a99a4e9f6a35a50eb9060ae32b4238ed8a9f8b9ec07a4	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
external/embedding.py	external	external service gateway	final-existing	80589396006c20061a7a887a1989b147ac024998f36d1c0b0f0cf0c3556dd5c5	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
external/llm.py	external	external service gateway	final-existing	38476b4165f4d5e057b0c278055b6fbc85f3c216b2ca25316635cd8d4c12bc30	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
graph/__init__.py	graph	Neo4j query and ownership boundary	final-existing	ee062bb0818501c8dd33e88b400ce067c41d264484279af8f69bf0e008e17c23	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	no-violation	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
graph/connection.py	graph	Neo4j query and ownership boundary	final-existing	9e8ca696cc20f74586f5e3df2935da76082500811f300c89fa1b58ca3353b6be	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
graph/database.py	graph	Neo4j query and ownership boundary	final-existing	3cc4e65157de6559a4ac5e7ebb62d5215b7bc3aa307ad208b1f701742cac60f1	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
graph/deletes.py	graph	Neo4j query and ownership boundary	final-existing	2d4311615b0f4de01915b8b611e116290061ca359ae930eecdfb49ea13c7143f	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
graph/queries.py	graph	Neo4j query and ownership boundary	final-existing	b957c279e268b487d0fb384f2809d0556d25a64fe4a156e66bcd07edb2d95cd5	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
graph/schema_commands.py	graph	Neo4j query and ownership boundary	final-existing	450c99bdb46513d6293d24654084430085b73071fe595e5d36dce2b1ad0adf4c	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
graph/schema_queries.py	graph	Neo4j query and ownership boundary	final-existing	1bff17565f30ebbc6a4e55f9f169c59cf72e200d3b7a203c31019fde9be49bcc	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
graph/scope.py	graph	Neo4j query and ownership boundary	final-existing	e39f873f48a75646481e314df316de98842da59db3e88b48faa86920921cdd65	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 40/40; compileall; diff-check; live API/UI and final-tree verification
